"","country","year","xVXa","xSES","xRISK","xHIV","xTB","xtype","xcause","yVXa","ySES","yRISK","yHIV","yTB","ytype","ycause","fn","age_from","age_thru","value","lo","hi","err","name","type","model","fit","residuals","weighted_residuals"
"1","IND",2015.5,"all","all","all","all","Ds, Dc","stock",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,315.1468923,210.8245515,528.9734359,159.0744422,"TB_prev_0_99","prev",711.599062605157,FALSE,396.452170305157,2.49224303302418
"2","IND",2021.5,"all","all","all","all","C, I","stock",NA,"all","all","all","all","all","stock",NA,"x/y",15,99,0.314,0.114,0.514,0.0225,"TB_LTBIp_15_99","ratio",0.760484605981794,FALSE,0.446484605981794,19.8437602658575
"3","IND",2021.5,"all","all","all","all","Ds, Dc","stock",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",15,99,393.6222054,275.5355438,511.708867,118.0866616,"TB_prevwider_15_99","prev",640.066084091978,FALSE,246.443878691979,2.08697472985364
"4","IND",2021.5,"all","all","all","all","Ds, Dc","stock",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,312,218.4,405.6,93.6,"TB_prevwider_0_99","prev",585.554038211396,FALSE,273.554038211396,2.92258587832689
"5","IND",2000.5,"all","all","all","all","TBdead","inflow","TBp, TBtr_died","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,67,57,79,11,"TB_deaths_0_99","inci",118.111234916124,FALSE,51.111234916124,4.64647590146582
"6","IND",2020.5,"all","all","all","all","Ds","stock",NA,"all","all","all","all","Ds,Dc","stock",NA,"x/y",0,99,0.504,0.361,0.797,0.218,"TB_subclinpr_0_99","ratio",0.639776607969165,TRUE,0.135776607969165,0.622828476922775
"7","IND",2020.5,"all","all","all","all","TBdead","inflow","TBp, TBtr_died","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,37,34,40,3,"TB_deaths_0_99","inci",53.0679348766389,FALSE,16.0679348766389,5.35597829221297
"8","IND",2000.5,"all","all","all","all","Ds","inflow","TBp","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,289,99,578,239.5,"TB_inci_0_99","inci",1716.32230409465,FALSE,1427.32230409465,5.95959208390249
"9","IND",2020.5,"all","all","all","all","Ds","inflow","TBp","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,188,129,257,67,"TB_inci_0_99","inci",916.186159011255,FALSE,728.186159011255,10.8684501344963
"10","IND",2020.5,"all","all","all","all","Ds","inflow","TBp","all","all","all","all","all","stock",NA,"1e5*x/y",0,14,91,56,126,35,"TB_inci_0_14","inci",698.707050072005,FALSE,607.707050072005,17.3630585734859
"11","IND",2020.5,"all","all","all","all","Ds","inflow","TBp","all","all","all","all","all","stock",NA,"1e5*x/y",15,99,224,138,310,86,"TB_inci_15_99","inci",993.238336519868,FALSE,769.238336519868,8.94463181999846
"12","IND",2000.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,177,142,212,35,"TB_notif_0_99","inci",254.963213830664,FALSE,77.9632138306642,2.22752039516183
"13","IND",2020.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,135.63,108.51,162.76,27.125,"TB_notif_0_99","inci",137.485317000219,TRUE,1.85531700021855,0.0683987834181953
"14","IND",2020.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",0,14,33,26,40,7,"TB_notif_0_14","inci",55.2323145515537,FALSE,22.2323145515537,3.17604493593624
"15","IND",2020.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",15,99,173,138,208,35,"TB_notif_15_99","inci",166.627302068133,TRUE,-6.37269793186749,-0.182077083767643
